CD_LOJA;CD_MERCADORIA;ST_LIBERA_SEM_ESTOQUE;DS_CURVA_ABC;NR_QTDE_PONTO_RESSUPRIMENTO;NR_QTDE_ESTOQUE_SEGURANCA;NR_QTDE_ESTOQUE;NR_QTDE_RESERVA;DT_UltimaAlteracao;UsuarioUltimaAlteracao;ST_MERCADORIA_COMPRADA
1;1288;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-08-15 13:43:44.717;GRACILENE;
1;1289;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-05-27 17:52:22.497;GRACILENE;
1;1290;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2008-06-10 16:49:43.060;GRACILENE;
1;1291;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-10-02 13:21:35.810;GRACILENE;
1;1292;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2008-06-10 16:52:57.687;GRACILENE;
1;1293;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-09-30 18:03:24.967;GRACILENE;
1;1294;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2008-06-10 16:52:16.467;GRACILENE;
1;1295;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2008-06-10 16:51:35.403;GRACILENE;
1;1296;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-10-03 12:15:22.060;GRACILENE;
1;1297;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2008-06-10 16:51:49.187;GRACILENE;
1;1298;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2012-08-09 15:05:12.560;ORANGE;
1;1299;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-04-03 08:24:10.310;GRACILENE;
1;1300;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2014-11-21 14:56:55.170;ORANGE;
1;1301;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2013-11-21 17:24:41.197;ORANGE;
1;1302;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2008-06-10 16:53:30.437;GRACILENE;
1;1303;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2008-05-09 10:19:51.793;GRACILENE;
1;1304;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2008-02-20 13:49:00.997;GRACILENE;
1;1305;S;;.0000000000;.0000000000;2.0000000000;2.0000000000;2008-11-11 15:42:39.480;GRACILENE;
1;1306;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-08-23 09:44:30.530;GRACILENE;
1;1307;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-08-29 10:13:19.000;GRACILENE;
1;1308;S;;.0000000000;.0000000000;2.0000000000;3.0000000000;2009-06-23 11:49:03.733;GRACILENE;
1;1309;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-09-29 17:49:53.467;GRACILENE;
1;1310;S;;.0000000000;.0000000000;22.0000000000;.0000000000;2016-08-24 16:08:01.927;ORANGE;
1;1311;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-03-17 10:57:59.140;GRACILENE;
1;1312;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2008-07-16 17:41:48.483;GRACILENE;
1;1313;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2015-03-26 09:51:03.497;ORANGE;
1;1314;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-05-15 12:19:59.890;GRACILENE;
1;1315;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-09-21 17:43:09.233;GRACILENE;
1;1316;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-09-21 11:29:36.263;GRACILENE;
1;1317;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-09-19 09:04:00.263;GRACILENE;
1;1318;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-09-19 09:04:52.187;GRACILENE;
1;1319;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-09-19 09:05:39.593;GRACILENE;
1;1320;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2008-07-30 12:23:29.310;GRACILENE;
1;1321;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-09-19 09:07:08.873;GRACILENE;
